C12836	C12836
C06755	C06755
succ	C00042
C07103	C07103
C00472	C00472
h2o	C00001
C12837	C12837
nad	C00003
C05618	C05618
nadh	C00004
h	C00080
C06990	C06990
o2	C00007
nadh	C00004
h	C00080
C12837	C12837
nad	C00003
C00530	C00530
nadph	C00005
h	C00080
o2	C00007
C02814	C02814
nadp	C00006
h2o	C00001
C07092	C07092
C06990	C06990
C02814	C02814
C07103	C07103
C02372	C02372
h2o	C00001
C00472	C00472
nh4	C00014
2ombzl	C05813
2ommbl	C05814
2omhmbl	C05815
2omph	C05812
o2	C00007
nadph	C00005
C05813	C05813
nadp	C00006
h2o	C00001
2ohph	C05811
amet	C00019
2omph	C05812
ahcys	C00021
aconm	C11514
C05807	C05807
co2	C00011
C05848	C05848
C05804	C05804
o2	C00007
nadph	C00005
h	C00080
C05805	C05805
nadp	C00006
h2o	C00001
2oph	C05810
o2	C00007
nadph	C00005
h	C00080
2ohph	C05811
nadp	C00006
h2o	C00001
3ophb	C05809
2oph	C05810
co2	C00011
C05801	C05801
amet	C00019
C05802	C05802
ahcys	C00021
C05800	C05800
o2	C00007
nadph	C00005
C05801	C05801
nadp	C00006
h2o	C00001
C05803	C05803
amet	C00019
C05804	C05804
ahcys	C00021
C05802	C05802
o2	C00007
C05803	C05803
h2o	C00001
C16602	C16602
C16603	C16603
C03817	C03817
nad	C00003
C03277	C03277
nadh	C00004
h	C00080
C04737	C04737
C01132	C01132
C03272	C03272
h2o	C00001
ala-L	C00041
C06002	C06002
pyr	C00022
C03284	C03284
C11871	C11871
C11856	C11856
glyc	C00116
C03817	C03817
nadp	C00006
C03277	C03277
nadph	C00005
h	C00080
C04645	C04645
h2o	C00001
g1p	C00103
C03268	C03268
C03272	C03272
C01132	C01132
C04925	C04925
h2o	C00001
uacgala	C00203
C03272	C03272
udp	C00015
C04925	C04925
C16603	C16603
C16606	C16606
C03296	C03296
h2o	C00001
C03415	C03415
co2	C00011
nh4	C00014
C03284	C03284
akg	C00026
C06002	C06002
glu-L	C00025
C00190	C00190
12ppd-S	C02917
23dhdp	C03340
23dhdp	C03340
23dhmp	C06007
23dhmp	C06007
23doguln	C05409
25aics	C04823
25aics	C04823
